exp_id,timestamp,git_sha,config_hash,seed,rung,model,train_region,test_region,split_strategy,n_train,n_test,mae,rmse,bias,acc_0p3,acc_0p5,acc_1p0,mae_m3,mae_m4,mae_m5,mae_m6plus,bias_m6plus,probe_r2_fc,probe_r2_stressdrop,probe_r2_duration,mmd_source_target,notes
rung1_20260423_203000,2026-04-23T20:38:16,no-git,c3c0d239e5eba747,0,1,pd_linear,California,California-Ridgecrest,california_ridgecrest,10906,244,0.3403,0.4191,0.2886,0.5000,0.7254,0.9959,0.3403,nan,nan,nan,nan,,,,,"Rung 1: Pd-only log-linear regression, Wu & Kanamori 2005 style."
rung1_20260423_204739,2026-04-23T20:56:08,no-git,3089dd84f0c49239,0,1,pd_linear,California,California-Ridgecrest,california_ridgecrest,12373,263,0.3922,0.4864,0.3431,0.4525,0.6464,0.9848,0.3989,0.1517,0.1214,nan,nan,,,,,"Rung 1: Pd-only log-linear regression, Wu & Kanamori 2005 style."
rung5_20260423_215410,2026-04-23T22:14:27,no-git,3a887dc439d97e68,0,5,split_transfer,California,California-Ridgecrest,california_ridgecrest,12373,263,0.2627,0.3271,0.1321,0.5665,0.8631,0.9962,0.2473,0.6831,1.6832,nan,nan,0.0633,0.1101,0.3013,,"Rung 5: split architecture. Universal Physics Encoder (3-component CNN, GroupNorm) + Regional Site Encoder (MLP on Vs30, CRUST1 Vp, sediment thickness, NEHRP one-hot, instrument one-hot) + Fusion head. Trained on California with event-grouped train/val and Ridgecrest/Coso geographic holdout. Physics branch takes only the waveform (hard rule #5).
"
rung5_20260424_095255,2026-04-24T09:55:47,9eb1fbb,935de7763cc2b7c9,0,5,split_transfer,California,California-Ridgecrest,california_ridgecrest,12373,263,0.3411,0.4485,0.2350,0.5665,0.7833,0.9582,0.3345,0.6353,0.2510,nan,nan,0.3255,0.3524,0.8205,,"Rung 5: split architecture. Universal Physics Encoder (3-component CNN, GroupNorm) + Regional Site Encoder (MLP on Vs30, CRUST1 Vp, sediment thickness, NEHRP one-hot, instrument one-hot) + Fusion head. Trained on California with event-grouped train/val and Ridgecrest/Coso geographic holdout. Physics branch takes only the waveform (hard rule #5).
"
rung6_20260424_122047_zero_shot,2026-04-24T12:23:14,9eb1fbb,f1b99c572f332e1d,0,6,split_transfer_transfer:zero_shot,California (pretrain),Greece,event_grouped,0,79,0.5617,0.6856,0.4445,0.3418,0.5063,0.8228,0.5571,0.5989,0.6553,nan,nan,0.2581,0.2927,0.6307,0.1314,"Transfer to Greece (Hellenic subduction + normal faulting). Zero-shot evaluation + few-shot fine-tune of site encoder + fusion head with the universal encoder frozen, at n ∈ {100, 500, 2000}. From-scratch baseline at each budget for comparison.
 [stage=zero_shot]"
rung6_20260424_142835_zero_shot,2026-04-24T14:31:46,9eb1fbb,f1b99c572f332e1d,0,6,split_transfer_transfer:zero_shot,California (pretrain),Greece,event_grouped,0,79,0.5617,0.6856,0.4445,0.3418,0.5063,0.8228,0.5571,0.5989,0.6553,nan,nan,0.2581,0.2927,0.6307,0.1314,"Transfer to Greece (Hellenic subduction + normal faulting). Zero-shot evaluation + few-shot fine-tune of site encoder + fusion head with the universal encoder frozen, at n ∈ {100, 500, 2000}. From-scratch baseline at each budget for comparison.
 [stage=zero_shot]"
rung6_20260424_143647_zero_shot,2026-04-24T14:37:48,9eb1fbb,ed80a43db9ef1ebf,0,6,split_transfer_transfer:zero_shot,California (pretrain),Greece,event_grouped,0,79,0.5617,0.6856,0.4445,0.3418,0.5063,0.8228,0.5571,0.5989,0.6553,nan,nan,0.2581,0.2927,0.6307,0.1314,"Transfer to Greece (Hellenic subduction + normal faulting). Zero-shot evaluation + few-shot fine-tune of site encoder + fusion head with the universal encoder frozen, at n ∈ {100, 500, 2000}. From-scratch baseline at each budget for comparison.
 [stage=zero_shot]"
rung6_20260424_143647_few_shot_n100,2026-04-24T14:38:14,9eb1fbb,ed80a43db9ef1ebf,0,6,split_transfer_transfer:few_shot_n100,California (pretrain),Greece,event_grouped,100,79,0.5503,0.6757,0.4290,0.3418,0.5190,0.8228,0.5439,0.6126,0.6587,nan,nan,0.2581,0.2927,0.6307,0.1314,"Transfer to Greece (Hellenic subduction + normal faulting). Zero-shot evaluation + few-shot fine-tune of site encoder + fusion head with the universal encoder frozen, at n ∈ {100, 500, 2000}. From-scratch baseline at each budget for comparison.
 [stage=few_shot_n100]"
rung6_20260424_143647_from_scratch_n100,2026-04-24T14:38:38,9eb1fbb,ed80a43db9ef1ebf,0,6,split_transfer_transfer:from_scratch_n100,California (pretrain),Greece,event_grouped,100,79,0.3395,0.5805,-0.2965,0.7848,0.8861,0.9367,0.2189,1.4488,2.5236,nan,nan,nan,nan,nan,,"Transfer to Greece (Hellenic subduction + normal faulting). Zero-shot evaluation + few-shot fine-tune of site encoder + fusion head with the universal encoder frozen, at n ∈ {100, 500, 2000}. From-scratch baseline at each budget for comparison.
 [stage=from_scratch_n100]"
rung6_20260424_143647_few_shot_n500,2026-04-24T14:39:02,9eb1fbb,ed80a43db9ef1ebf,0,6,split_transfer_transfer:few_shot_n500,California (pretrain),Greece,event_grouped,500,79,0.4765,0.6442,0.3411,0.4557,0.6076,0.8608,0.4667,0.6645,0.4590,nan,nan,0.2581,0.2927,0.6307,0.1314,"Transfer to Greece (Hellenic subduction + normal faulting). Zero-shot evaluation + few-shot fine-tune of site encoder + fusion head with the universal encoder frozen, at n ∈ {100, 500, 2000}. From-scratch baseline at each budget for comparison.
 [stage=few_shot_n500]"
rung6_20260424_143647_from_scratch_n500,2026-04-24T14:39:29,9eb1fbb,ed80a43db9ef1ebf,0,6,split_transfer_transfer:from_scratch_n500,California (pretrain),Greece,event_grouped,500,79,0.5044,0.5913,0.3178,0.1519,0.5949,0.9494,0.4479,0.8351,1.9062,nan,nan,nan,nan,nan,,"Transfer to Greece (Hellenic subduction + normal faulting). Zero-shot evaluation + few-shot fine-tune of site encoder + fusion head with the universal encoder frozen, at n ∈ {100, 500, 2000}. From-scratch baseline at each budget for comparison.
 [stage=from_scratch_n500]"
